EN-9789264179363-8112101e.pdf|http://kim.oecd.org/Taxonomy/GeographicalAreas#Paris|Paris
EN-9789264179363-8112101e.pdf|http://kim.oecd.org/Taxonomy/GeographicalAreas#UnitedStates|United States
EN-9789264179363-8112101e.pdf|http://kim.oecd.org/Taxonomy/GeographicalAreas#UnitedKingdom|United Kingdom
EN-9789264179363-8112101e.pdf|http://kim.oecd.org/Taxonomy/GeographicalAreas#Slovakia|Slovak Republic
EN-9789264179363-8112101e.pdf|http://kim.oecd.org/Taxonomy/GeographicalAreas#MexicoState|Mexico
EN-9789264179363-8112101e.pdf|http://kim.oecd.org/Taxonomy/GeographicalAreas#CzechRepublic|Czech Republic
EN-9789264179363-8112101e.pdf|http://kim.oecd.org/Taxonomy/GeographicalAreas#OECDCountries|OECD countries
EN-9789264179363-8112101e.pdf|http://kim.oecd.org/Taxonomy/GeographicalAreas#MENACountries|MENA countries
EN-9789264179363-8112101e.pdf|http://kim.oecd.org/Taxonomy/GeographicalAreas#SouthAfrica|South Africa
EN-9789264179363-8112101e.pdf|http://kim.oecd.org/Taxonomy/GeographicalAreas#CentralAndEasternEurope|Central and Eastern Europe
EN-9789264179363-8112101e.pdf|http://kim.oecd.org/Taxonomy/GeographicalAreas#DevelopingCountries|Developing countries
EN-9789264179363-8112101e.pdf|http://kim.oecd.org/Taxonomy/GeographicalAreas#SouthernAfrica|Southern Africa
EN-9789264179363-8112101e.pdf|http://kim.oecd.org/Taxonomy/GeographicalAreas#EastAfrica|East Africa
EN-9789264179363-8112101e.pdf|http://kim.oecd.org/Taxonomy/GeographicalAreas#SouthAsia|Southern Asia
EN-9789264179363-8112101e.pdf|http://kim.oecd.org/Taxonomy/GeographicalAreas#Laos|Lao People's Democratic Republic
EN-9789264179363-8112101e.pdf|http://kim.oecd.org/Taxonomy/Organisations#OrganisationForEconomicCoOperationAndDevelopment|Organisation for Economic Co-operation and Development
EN-9789264179363-8112101e.pdf|http://kim.oecd.org/Taxonomy/Organisations#ClimateActionNetwork|Climate Action Network
EN-9789264179363-8112101e.pdf|http://kim.oecd.org/Taxonomy/Organisations#WorldBank|World Bank
EN-9789264179363-8112101e.pdf|http://kim.oecd.org/Taxonomy/Organisations#EuropeanCommission|European Commission
